Apple,A fruit that is red or green,1,0,0,,,,,
Banana,"A long, curved fruit",1,0,0,,,,,
Car,A vehicle with four wheels,1,0,0,,,,,
Dog,"A loyal pet, often called man's best friend",1,0,0,,,,,
Ant,A tiny insect that works in colonies,1,0,0,,,,,
Ball,"Used in many sports, like soccer or tennis",1,0,0,,,,,
Cat,"A small, furry pet that meows",1,0,0,,,,,
Door,A movable barrier in a wall,1,0,0,,,,,
Air,Invisible gas mixture surrounding Earth,1,0,0,,,,,
Bag,A container made of fabric or plastic,1,0,0,,,,,
Chair,A piece of furniture with a back and four legs,1,0,0,,,,,
Desk,A piece of furniture used for writing or working on a computer,1,0,0,,,,,
Arm,The limb connected to the shoulder,1,0,0,,,,,
Bread,A staple food made from flour and water,1,0,0,,,,,
Cup,"Used to drink liquids, typically with a handle",1,0,0,,,,,
Drum,A percussion instrument you hit with sticks,1,0,0,,,,,
Apple,A common fruit with varieties like Granny Smith,1,0,0,,,,,
Book,"A collection of pages bound together, containing text or images",1,0,0,,,,,
Clock,A device used to measure and display time,1,0,0,,,,,
Desk,"A flat surface used for working, often found in offices",1,0,0,,,,,
Ant,"An insect that lives in colonies, often found near food",1,0,0,,,,,
Bat,A flying mammal that uses echolocation,1,0,0,,,,,
Carrot,An orange root vegetable,1,0,0,,,,,
Dish,"A shallow, flat-bottomed container used for serving food",1,0,0,,,,,
Axe,A tool used for chopping wood,1,0,0,,,,,
Bed,A piece of furniture where people sleep,1,0,0,,,,,
Chair,A piece of furniture used for sitting,1,0,0,,,,,
Door,"A hinged, sliding, or revolving barrier at the entrance to a building or room",1,0,0,,,,,
Arrow,A projectile weapon or a pointer symbol,1,0,0,,,,,
Bowl,"A deep, round dish used for holding food",1,0,0,,,,,
Circle,"A round, 2D shape with no corners",1,0,0,,,,,
Doll,"A small figure representing a human, often a child's toy",1,0,0,,,,,
Apron,A garment worn to protect clothes while cooking,1,0,0,,,,,
Bread,"A staple food made from dough, typically used for sandwiches",1,0,0,,,,,
Cupboard,A cabinet with shelves for storing dishes or food,1,0,0,,,,,
Desk,A piece of furniture where you can do writing or computer work,1,0,0,,,,,
Alley,A narrow passageway between or behind buildings,1,0,0,,,,,
Belt,A strip of leather or material worn around the waist,1,0,0,,,,,
Cloud,A mass of condensed water vapor floating in the sky,1,0,0,,,,,
Dance,Moving rhythmically to music,1,0,0,,,,,
Album,A collection of songs or photos,1,0,0,,,,,
Button,"A small disc or knob sewn onto clothes, used to fasten them",1,0,0,,,,,
Coat,A garment worn over clothes to keep warm,1,0,0,,,,,
Duck,"A waterbird with a broad, flat bill",1,0,0,,,,,
Airplane,A powered aircraft with fixed wings,1,0,0,,,,,
Bridge,A structure built to span a physical obstacle,1,0,0,,,,,
Coin,"A small, flat, round piece of metal used as money",1,0,0,,,,,
Dirt,"Loose earth, often found on the ground",1,0,0,,,,,
Artist,A person who creates art like paintings or sculptures,1,0,0,,,,,
Ball,A round object often used in games or sports,1,0,0,,,,,
Couch,A piece of furniture designed to seat multiple people,1,0,0,,,,,
Doorbell,A signaling device typically placed near the entrance of a building,1,0,0,,,,,
Arrow,A symbol or pointer indicating direction,1,0,0,,,,,
Bread,A staple food made from flour and water,1,0,0,,,,,
Cup,A small container used for drinking liquids,1,0,0,,,,,
Drip,"A small, continuous flow of liquid",1,0,0,,,,,
Air,The mixture of gases we breathe,1,0,0,,,,,
Bottle,"A container with a narrow neck, typically used to store liquids",1,0,0,,,,,
Cereal,"A food made from grains, often eaten with milk for breakfast",1,0,0,,,,,
Desk,A piece of furniture used for studying or working,1,0,0,,,,,
Almond,An oval-shaped nut often used in baking,1,0,0,,,,,
Blanket,"A large, soft cloth used for warmth, usually on a bed",1,0,0,,,,,
Cat,"A small, furry animal often kept as a pet",1,0,0,,,,,
Drawer,A sliding compartment typically found in furniture,1,0,0,,,,,
Atom,The smallest unit of a chemical element,1,0,0,,,,,
Brick,A rectangular block used in construction,1,0,0,,,,,
